,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
22,Kreiskrankenhaus Weißwasser gemeinnützige GmbH,VERFUEGBAR,51.502859134328006,14.630971670249,50,99
23,"Lausitzer Seenland Klinikum, Hauptstandort",VERFUEGBAR,51.441829145466,14.272666096703999,39,100
24,"Carl-Thiem-Klinikum Cottbus gGmbH, Hauptstandort",VERFUEGBAR,51.743884735622,14.322839498454002,60,94
25,"Sana-Herzzentrum Cottbus GmbH, Sana-Herzzentrum Cottbus",VERFUEGBAR,51.74397854379001,14.318937836531001,48,92
26,Lausitz Klinik Forst,VERFUEGBAR,51.754308149705,14.639821887049001,61,96
27,"Naemi-Wilke-Stift, Hauptstandort",VERFUEGBAR,51.945977756306,14.714145898687999,57,93
28,"Elbe-Elster-Klinikum GmbH, Elbe-Elster Klinikum Finsterwalde",VERFUEGBAR,51.635379882902,13.698356866771,56,96
29,Universitätsklinikum Leipzig AöR,VERFUEGBAR,51.331383154482005,12.386209113038001,47,91
30,"Klinikum St.Georg Leipzig, Hauptstandort Leipzig Eutritzsch",VERFUEGBAR,51.383359115198004,12.380169153148,46,93
31,"Ev. Diakonissenkrankenhaus Leipzig, Hauptstandort",VERFUEGBAR,51.34312397146,12.320682585223,65,91
32,"Klinikum St.Georg Leipzig, Standort Grünau des Klinikums St.Georg Leipzig",VERFUEGBAR,51.317787519255,12.301916107514998,53,94
33,"St. Elisabeth-Krankenhaus Leipzig gGmbH, Biedermannstraße 84, 04277 Leipzig",VERFUEGBAR,51.30319757913,12.378561973310001,59,93
34,"HELIOS Park-Klinikum, Hauptstandort",VERFUEGBAR,51.308331669107,12.436151683314,61,99
35,"Herzzentrum Leipzig, Herzzentrum",VERFUEGBAR,51.30760564054,12.436903238231,52,95
36,Helios Klinik Schkeuditz,VERFUEGBAR,51.394703973835,12.230794787456,40,97
37,"Kreiskrankenhaus Delitzsch GmbH, Kreiskrankenhaus Delitzsch GmbH Klinik Delitzsch",VERFUEGBAR,51.52655842022801,12.33797859576,39,100
38,"Klinikum Altenburger Land GmbH, Klinikum Altenburger Land",VERFUEGBAR,50.971663609429996,12.439656257629002,46,91
39,"Muldentalkliniken GmbH - Gemeinnützige Gesellschaft, Krankenhaus Grimma",VERFUEGBAR,51.237705627622994,12.717505216533,53,99
40,Helios Klinik Leisnig GmbH,VERFUEGBAR,51.155714433494,12.920708835150002,58,96
41,"Klinikum Döbeln, Hauptstandort",VERFUEGBAR,51.119088064259,13.130930185253,45,93
42,"COLLM KLINIK OSCHATZ GmbH, COLLM KLINIK OSCHATZ gmbH",VERFUEGBAR,51.29173410058699,13.114279031688001,52,96
43,"Fachkrankenhaus Hubertusburg gGmbH Wermsdorf, Hauptstandort Wermsdorf",VERFUEGBAR,51.274474451085,12.941995382244,42,92
44,"Muldentalkliniken GmbH - Gemeinnützige Gesellschaft, Krankenhaus Wurzen",VERFUEGBAR,51.378711899063994,12.732268094951,41,97
45,"Kreiskrankenhaus Delitzsch GmbH, Kreiskrankenhaus Delitzsch GmbH Klinik Eilenburg",VERFUEGBAR,51.459966461964996,12.620404529644,62,99
46,"Kreiskrankenhaus Torgau ""Johann Kentmann""",VERFUEGBAR,51.561519234504004,12.984612679675,53,98
47,"Elbe-Elster-Klinikum GmbH, Elbe-Elster-Klinikum Elsterwerda",VERFUEGBAR,51.455925635626,13.52165293687,60,100
48,"Elbe-Elster-Klinikum GmbH, Elbe-Elster-Klinikum Herzberg",VERFUEGBAR,51.685228368576006,13.207791566783,47,93
49,"Krankenhaus St. Elisabeth und St. Barbara  Halle (Saale) GmbH, St. Elisabeth - Mauerstraße",VERFUEGBAR,51.478082474591,11.969155919251001,58,96
50,"BG Klinikum Bergmannstrost Halle gGmbH, BG Klinikum Bergmannstrost",VERFUEGBAR,51.460257513815,11.984916687142999,45,96
51,Diakoniekrankenhaus Halle gGmbH,VERFUEGBAR,51.493879487772,11.960052231898,61,95
52,Krankenhaus Martha-Maria Halle-Dölau,VERFUEGBAR,51.503530312452,11.877161622014999,53,94
53,"Universitätsklinikum Halle (Saale), somatischer Hauptstandort",VERFUEGBAR,51.50106510347901,11.934980928963,48,96
54,"Carl-von-Basedow Klinikum Saalekreis gGmbH, Hauptstandort Standort Merseburg",VERFUEGBAR,51.366282965409,11.994037270579,61,93
55,"Carl-von-Basedow Klinikum Saalekreis gGmbH, Standort Querfurt",VERFUEGBAR,51.370392270886,11.60737538341,45,93
56,"HELIOS Kliniken Mansfeld-Südharz GmbH, HELIOS Klinik Lutherstadt Eisleben",VERFUEGBAR,51.53262545889,11.541689908272,44,94
57,"HELIOS Kliniken Mansfeld-Südharz GmbH, HELIOS Klinik Hettstedt",VERFUEGBAR,51.660287287341006,11.493651813298,51,91
58,"AMEOS Klinikum Bernburg GmbH, AMEOS Klinikum Bernburg",VERFUEGBAR,51.782026341313,11.735441207165,37,92
59,"Harzklinikum Dorothea Christiane Erxleben GmbH, Harzklinikum  Standort Quedlinburg",VERFUEGBAR,51.795329141617,11.163533091594,56,100
60,"Lungenklinik Ballenstedt/Harz, Lungenklinik Ballenstedt GmbH",VERFUEGBAR,51.713116912312,11.231196641857,44,96
61,"Klinikum Burgenlandkreis GmbH, Hauptstandort Naumburg (Saale-Unstrut Klinikum Naumburg)",VERFUEGBAR,51.160971987144,11.814169406171,41,91
62,"Asklepios Kliniken Weißenfels-Hohenmölsen GmbH, Asklepios Klinik Weißenfels",VERFUEGBAR,51.193821231331995,11.956809282237,55,99
63,"Klinikum Burgenlandkreis GmbH, Standort Zeitz (Georgius-Agricola Klinikum Zeitz)",VERFUEGBAR,51.031207894931,12.159294604862001,61,92
64,Gesundheitszentrum Bitterfeld/Wolfen gGmbH,VERFUEGBAR,51.633728236012004,12.333817779654,45,92
65,"Diakonissenkrankenhaus Dessau gemeinnützige GmbH, Hauptstandort",VERFUEGBAR,51.837731533843005,12.226864278299999,48,98
66,"Städtisches Klinikum Dessau, Hauptstandort",VERFUEGBAR,51.815733630652,12.197617471202,58,96
67,"MediClin Herzzentrum Coswig, Herzzentrum Coswig",VERFUEGBAR,51.877967995862,12.477286577159,51,98
68,"Evangelisches Krankenhaus Paul Gerhardt Stift, Paul Gerhardt Stift - Hauptgebäude (Haus 1)",VERFUEGBAR,51.870511171937,12.656023085101,52,99
69,"SRH Wald-Klinikum Gera, Hauptstandort",VERFUEGBAR,50.868588042918994,12.052145719463,63,94
70,"Waldkliniken Eisenberg GmbH, Hauptstandort",VERFUEGBAR,50.957495810086,11.882682647555999,50,94
71,"Universitätsklinikum Jena, Standort Jena Lobeda",VERFUEGBAR,50.885268754734,11.621468782358999,59,98
72,Kreiskrankenhaus Greiz GmbH,VERFUEGBAR,50.663519684413004,12.197972059184,59,96
73,"Heinrich-Braun-Kinikum gemeinnützige GmbH, Standort Zwickau",VERFUEGBAR,50.72295103401301,12.434322523832,48,95
74,"Kliniken Erlabrunn gGmbH, Hauptstandort",VERFUEGBAR,50.473859853852,12.708371628541999,47,100
75,"Pleißental-klinik GmbH, Hauptstandtort",VERFUEGBAR,50.74193616942,12.366416394742998,39,99
76,Helios Vogtland-Klinikum Plauen,VERFUEGBAR,50.492359253378,12.152829945071002,52,91
77,"Paracelsus-Klinik Adorf/Schöneck, Standort Adorf",VERFUEGBAR,50.328892551012004,12.289963406138,61,97
78,"Klinikum Chemnitz gGmbH, Chemnitz Flemmingstraße/Bürgerstraße",VERFUEGBAR,50.844500828504,12.88633739945,48,96
79,"DRK Krankenhaus Chemnitz-Rabenstein, DRK Krankenhaus Chemnitz Rabenstein",VERFUEGBAR,50.820971422274,12.825703382623,43,98
80,Zeisigwaldkliniken Bethanien Chemnitz,VERFUEGBAR,50.840603646608,12.962685406192,48,97
81,DIAKOMED- Diakoniekrankenhaus Chemnitzer Land gGmbH,VERFUEGBAR,50.882904775937995,12.792461693271001,65,96
82,"EKA Erzgebirgsklinikum Annaberg gGmbH, Hauptstandort",VERFUEGBAR,50.592154611488,13.006987237909,61,93
83,"Klinikum Mittleres Erzgebirge gGmbH, Haus Olbernhau, Klinikum Mittleres Erzgebirge, Haus Olbrnhau",VERFUEGBAR,50.654210270345004,13.347656965289,54,100
84,Kreiskrankenhaus Freiberg gGmbH,VERFUEGBAR,50.920546649356005,13.350871324474001,55,91
85,"Landkreis Mittweida Krankenhaus gGmbH, Krankenhaus Mittweida",VERFUEGBAR,50.981105845761995,12.984504606575001,42,92
86,"Alexianer St. Hedwig Kliniken Berlin GmbH, Alexianer St. Hedwig-Krankenhaus",VERFUEGBAR,52.525902143358,13.397046089303,43,92
87,"Bundeswehrkrankenhaus Berlin, Hauptstandort",VERFUEGBAR,52.53491889392,13.369843125311,59,94
88,"Charité Universitätsmedizin Berlin, Hauptstandort Charité Universitätsmedizin Berlin",VERFUEGBAR,52.523669697726,13.378229856426001,43,96
89,"Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum im Friedrichshain",VERFUEGBAR,52.524480767484995,13.438961398661,43,92
90,"Ev. Krankenhaus Königin Elisabeth Herzberge, Evangelisches Krankenhaus Königin Elisabeth Herzberge gGmbH",VERFUEGBAR,52.526881250383994,13.508368358016,41,95
91,Sana Klinikum Lichtenberg,VERFUEGBAR,52.51403363081899,13.494809389049001,38,96
92,Sankt Gertrauden-Krankenhaus GmbH,VERFUEGBAR,52.481244738319,13.317197799879,45,92
93,"Ev. Elisabeth Klinik Krankenhausbetriebs gGmbH, Hauptstandort",VERFUEGBAR,52.503591063132,13.364198362742,65,95
94,"Franziskus-Krankenhaus Berlin, Hauptstandort",VERFUEGBAR,52.506386600175,13.345417857563,59,92
95,"Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Am Urban",VERFUEGBAR,52.494626963901,13.409019953042,39,93
96,"St. Joseph Krankenhaus Berlin-Tempelhof, Hauptstandort",VERFUEGBAR,52.47864928953901,13.372827565454,61,93
97,"Charité Universitätsmedizin Berlin, Charité Campus Benjamin Franklin",VERFUEGBAR,52.441800385762996,13.320401430065,52,99
98,St. Marien-Krankenhaus Lankwitz,VERFUEGBAR,52.424282933774,13.348081827098,50,98
99,"Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Neukölln",VERFUEGBAR,52.438175472559,13.458396685181999,41,91
100,DRK Kliniken Berlin Köpenick,VERFUEGBAR,52.440261837018994,13.595804750903001,38,93
101,"Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Kaulsdorf",VERFUEGBAR,52.505880739655,13.592644169935,60,92
102,BG Klinikum Unfallkrankenhaus Berlin gGmbH,VERFUEGBAR,52.519049415154,13.566016137584,63,97
103,Park-Klinik Weißensee,VERFUEGBAR,52.554889150784,13.451850056681002,42,94
104,"Evangelische Lungenklinik Berlin, Hauptstandort",VERFUEGBAR,52.631861499326,13.505310807377,42,99
105,"Helios Klinikum Berlin-Buch GmbH, Helios Klinikum Berlin-Buch",VERFUEGBAR,52.631418701813004,13.511301755971001,60,92
106,"Jüdisches Krankenhaus Berlin, Krankenhaus",VERFUEGBAR,52.555278906927995,13.370569467479,55,99
107,"Charité Universitätsmedizin Berlin, Charité Campus Virchow Klinikum",VERFUEGBAR,52.542234057016,13.347827553716,51,100
108,DRK Kliniken Berlin Mitte,VERFUEGBAR,52.55738744394,13.37627667187,53,96
109,"Evangelisches Waldkrankenhaus Spandau, Stadtrandstraße 555-561",VERFUEGBAR,52.56240480009,13.157562375036,50,97
110,DRK Kliniken Berlin Westend,VERFUEGBAR,52.518886203069,13.277061760409,59,95
111,"Paulinenhaus Krankenanstalt e.V., Paulinenkrankenhaus gGmbH",VERFUEGBAR,52.508026341004,13.233626604014999,47,97
112,"Gemeinschaftskrankenhaus Havelhöhe gGmbH, Gemeinschaftskrankenhaus Havelhöhe",VERFUEGBAR,52.46171655277001,13.160881661733999,63,91
113,"Immanuel Krankenhaus Berlin, Standort Berlin Wannsee",VERFUEGBAR,52.419558963744,13.164232559502,54,92
114,Evangelisches Krankenhaus Hubertus,VERFUEGBAR,52.431348315318004,13.219185590678999,37,96
115,"Krankenhaus Waldfriede e.V., Krankenhaus Waldfriede",VERFUEGBAR,52.444185357117995,13.240225366317,43,95
116,"Helios Klinikum Emil von Behring GmbH, Helios Klinikum Emil von Behring",VERFUEGBAR,52.422884442758,13.25299161671,39,99
117,"Martin-Luther-Krankenhausbetriebs GmbH, Martin-Luther-Krankenhaus",VERFUEGBAR,52.491268519874,13.292226970179,36,100
118,"Klinikum Ernst von Bergmann, Potsdam, Klinikum Ernst von Bergmann",VERFUEGBAR,52.40041254415999,13.064531564778,42,91
119,"Klinikum Westbrandenburg, Klinikum Westbrandenburg, Standort Potsdam",VERFUEGBAR,52.401382990772,13.065048694643,50,95
120,"FKH für neurologische Frührehabilitation, Fachkrankenhaus für neurologische Frührehabilitation",VERFUEGBAR,52.267193219049,12.924351230257999,41,95
121,"Havelland Kliniken GmbH, Klinik Nauen",VERFUEGBAR,52.600538808641005,12.875710487497,51,99
122,"Havelland Kliniken GmbH, Klinik Rathenow",VERFUEGBAR,52.60710680269,12.348216533792,51,94
123,"Klinikum Westbrandenburg, Klinikum Westbrandenburg, Standort Brandenburg a.d. Havel",VERFUEGBAR,52.4138414325,12.545166850123,65,98
124,"Städtisches Klinikum Brandenburg GmbH, Hauptstandort",VERFUEGBAR,52.413582122023,12.546368747957999,42,100
125,"KMG Klinikum Thüringen Brandenburg gGmbH, KMG Klinikum Luckenwalde",VERFUEGBAR,52.099865670543004,13.179556488958001,61,97
126,"Evangelisches Krankenhaus Ludwigsfelde-Teltow gemeinnützige GmbH, Evangelisches Krankenhaus Ludwigsfelde-Teltow",VERFUEGBAR,52.311264775823005,13.258243381961,38,98
127,Klinikum Frankfurt (Oder) GmbH,VERFUEGBAR,52.301202545139,14.483436226828001,48,96
128,"Krankenhaus Märkisch- Oderland GmbH, Strausberg 01",VERFUEGBAR,52.589038352606,13.900924967565999,41,95
129,"HELIOS Klinikum Bad Saarow, Helios Klinikum Bad Saarow",VERFUEGBAR,52.284712952122,14.063543915945,53,99
130,"Immanuel Klinik Rüdersdorf, Standort Rüdersdorf",VERFUEGBAR,52.453583789123,13.772192783654,37,99
131,"Klinikum Dahme-Spreewald GmbH, Achenbach-Krankenhaus",VERFUEGBAR,52.303515919540004,13.628643035954001,50,93
132,"Oder-Spree Krankenhaus GmbH, Beeskow, Oder-Spree Krankenhaus",VERFUEGBAR,52.170148241181,14.241641521584999,61,99
133,"Städtisches Krankenhaus Eisenhüttenstadt GmbH, Hauptstandort Eisenhüttenstadt",VERFUEGBAR,52.141628764554994,14.625185072455,46,93
134,"Evangelisches Krankenhaus Luckau gGmbH, Krankenhaus",VERFUEGBAR,51.853799621812,13.703354358477002,57,100
135,Krankenhaus Angermünde,VERFUEGBAR,53.013137300723,13.989123344618001,52,98
136,Immanuel Klinikum Bernau Herzzentrum Brandenburg,VERFUEGBAR,52.68315170541099,13.582613663747999,48,99
137,"Oberhavel Kliniken GmbH, Standort Oranienburg",VERFUEGBAR,52.743077973048,13.242150127871001,36,94
138,Asklepios Klinik Birkenwerder,VERFUEGBAR,52.6914777339,13.298514604503,55,93
139,"Oberhavel Kliniken GmbH, Standort Hennigsdorf",VERFUEGBAR,52.655552769252004,13.190437138064,47,91
140,Oberhavel Klinik Gransee GmbH,VERFUEGBAR,52.999037967658005,13.144247111663,38,99
141,"Ruppiner Kliniken, Ruppiner Kliniken GmbH, Hauptstandort Neuruppin",VERFUEGBAR,52.906364286635,12.797664641875999,56,100
142,"KMG Klinikum Mitte GmbH, KMG Klinikum Mitte GmbH Klinikum Kyritz",VERFUEGBAR,52.948243551441,12.388838052684,38,95
143,"KMG Klinikum Mitte GmbH, KMG Klinikum Mitte GmbH Klinikum Wittstock",VERFUEGBAR,53.170617526813004,12.484153032237,56,99
144,"Dietrich-Bonhoeffer-Klinikum, Standort Neubrandenburg",VERFUEGBAR,53.544754199834,13.294242382017,37,94
145,"DRK Krankenhaus Teterow gGmbH, DRK Krankenhaus Teterow",VERFUEGBAR,53.77684236481301,12.571374526591999,41,91
146,"Klinik Amsee GmbH, Klinik Amsee",VERFUEGBAR,53.541900008233,12.687936008042,41,98
147,"MediClin Müritz Klinikum, Waren",VERFUEGBAR,53.52230308637299,12.685997843382001,59,93
148,Sana Krankenhaus Templin,VERFUEGBAR,53.119523164732,13.505943775308001,60,100
149,Kreiskrankenhaus Prenzlau,VERFUEGBAR,53.334064923663995,13.86869430542,48,94
150,"Asklepios Klinik Pasewalk, Hauptstandort",VERFUEGBAR,53.489375976100995,13.984293651738,52,95
151,"AMEOS Krankenhausgesellschaft Vorpommern mbH, AMEOS Klinikum Ueckermünde",VERFUEGBAR,53.740200697820995,14.022625207916999,50,95
152,"AMEOS Krankenhausgesellschaft Vorpommern mbH, AMEOS Klinikum Anklam",VERFUEGBAR,53.848626436477005,13.699016690271002,60,100
153,Kreiskrankenhaus Wolgast gGmbH,VERFUEGBAR,54.052705965431,13.765961408681,46,99
154,"Universitätsmedizin Greifswald - Körperschaft des Öffentlichen Rechts, Hauptstandort",VERFUEGBAR,54.088500891852,13.404547154886998,45,99
155,"Klinikum Karlsburg, Hauptstandort",VERFUEGBAR,53.970694183658,13.609632611242,38,93
156,"Universitätsmedizin Rostock, Universitätsmedizin Rostock Campus Schillingallee",VERFUEGBAR,54.085558886271,12.101712405665,56,94
157,"Klinikum Südstadt Rostock, Hauptstandort",VERFUEGBAR,54.07175069965,12.107268333401999,56,95
158,"Sana Krankenhaus Bad Doberan GmbH, Krankenhaus Bad Doberan",VERFUEGBAR,54.090704899466,11.905740022594,49,100
159,"Warnow-Klinik Bützow, Hauptstandort",VERFUEGBAR,53.843853407316,11.974854540457999,49,93
160,KMG Klinikum Güstrow GmbH,VERFUEGBAR,53.811286730588996,12.199011683497,65,95
161,"Bodden-Kliniken Ribnitz-Damgarten GmbH, Hauptstandort",VERFUEGBAR,54.236468365403994,12.444333627836,54,98
162,"Helios Hanseklinikum Stralsund, Helios Hanseklinikum Stralsund - Sund Hauptstandort Somatik",VERFUEGBAR,54.328989260509005,13.079763829691998,38,94
163,Sana-Krankenhaus Rügen GmbH,VERFUEGBAR,54.419653232211,13.428819590868,60,95
164,"MediClin Krankenhaus am Crivitzer See gGmbH, MediClin Krankenhaus am Crivitzer See",VERFUEGBAR,53.575004444812,11.648212764958,42,99
165,"Westmecklenburg Klinikum Helene von Bülow GmbH, Krankenhaus Hagenow",VERFUEGBAR,53.434521276425,11.182369708989999,41,95
166,"Kreiskrankenhaus Prignitz, Hauptstandort",VERFUEGBAR,53.074801173802,11.873124360973,50,99
167,Asklepios Klinik Parchim,VERFUEGBAR,53.429704447332,11.854413338006001,56,94
168,MediClin Krankenhaus Plau am See,VERFUEGBAR,53.47847710323,12.284199178203002,45,91
169,Asklepios Klinik St. Georg,VERFUEGBAR,53.560321551722005,10.016164755506999,62,99
170,"Universitätsklinikum Hamburg-Eppendorf (UKE), Hauptstandort",VERFUEGBAR,53.589913025365,9.974761963021999,56,91
171,"AGAPLESION DIAKONIEKLINIKUM HAMBURG, Hauptstandort",VERFUEGBAR,53.571185658973,9.965228157898,50,95
172,"Bethesda Krankenhaus Bergedorf gGmbH, Bethesda Krankenhaus Bergedorf",VERFUEGBAR,53.486210224153005,10.235927581853,54,96
173,"Asklepios Klinikum Harburg, Hauptstandort",VERFUEGBAR,53.58801366281,9.84918791054,52,99
174,"Helios Mariahilf Klinikum GmbH, Helios Mariahilf Klinikum Hamburg",VERFUEGBAR,53.470879874845,9.93764555451,50,93
175,Wilhelmsburger Krankenhaus Groß-Sand,VERFUEGBAR,53.503688744911,9.985962733626,64,97
176,Krankenhaus Buchholz,VERFUEGBAR,53.333690450088994,9.872075200065,45,99
177,Waldklinik Jesteburg Aldag GmbH & Co. KG,VERFUEGBAR,53.319583629297,9.949818491968,63,97
178,"Städtisches Klinikum Lüneburg gGmbH, Städtisches Klinikum Lüneburg",VERFUEGBAR,53.240545120251,10.395935296947,60,99
179,"Krankenhaus Reinbek St. Adolf-Stift GmbH, Hauptstandort",VERFUEGBAR,53.510301099579,10.241016000591001,40,92
180,"Johanniter-Krankenhaus Geesthacht, Hauptstandort",VERFUEGBAR,53.431633289927,10.385399043544,58,93
181,Elbe Klinikum Buxtehude,VERFUEGBAR,53.46157479385101,9.675736963782,58,94
182,Elbe Klinikum Stade,VERFUEGBAR,53.595440432972005,9.443376767658,37,100
183,"Capio Krankenhaus Land Hadeln, Hauptstandort",VERFUEGBAR,53.812428563775995,8.888276338512,39,93
184,"Asklepios Klinik Wandsbek, Asklepios klinik Wandsbek",VERFUEGBAR,53.569835328196,10.089032649994,50,100
185,Bundeswehrkrankenhaus Hamburg,VERFUEGBAR,53.594013956273,10.074613094330001,62,93
186,"Schön Klinik Hamburg Eilbek, Klinik",VERFUEGBAR,53.577923798759,10.054193972756,46,97
187,"Kath. Marienkrankenhaus gGmbH, Kath. Marienkrankenhaus Hamburg",VERFUEGBAR,53.558687184753,10.030157518741,61,97
188,"Katholisches Kinderkrankenhaus Wilhelmstift, Hauptstandort",VERFUEGBAR,53.586897568381005,10.164517521907001,62,91
189,Israelitisches Krankenhaus Hamburg,VERFUEGBAR,53.605628446777,9.990679800494,63,94
190,"Asklepios Klinik Barmbek, Haupstandort",VERFUEGBAR,53.606101108168,10.035914182663,46,91
191,"Evangelisches Amalie Sieveking -Krankenhaus gGmbH, Hamburg Volksdorf",VERFUEGBAR,53.641470602664,10.151569090972,50,96
192,"Asklepios Klinik Nord, Heidberg",VERFUEGBAR,53.674729747362,10.029191494004001,42,96
193,Albertinen-Krankenhaus,VERFUEGBAR,53.631362490632,9.905442953241,47,98
194,"Asklepios Westklinikum GmbH, Westklinikum",VERFUEGBAR,53.58246155793199,9.77698874467,55,93
195,"AKK Altonaer Kinderkrankenhaus gGmbH, Hauptstandort",VERFUEGBAR,53.551159545356,9.913026809845,44,97
196,"Asklepios Klinik Altona, Hauptstandort",VERFUEGBAR,53.554266187226,9.901287245266,37,100
197,LungenClinic Grosshansdorf GmbH,VERFUEGBAR,53.660951156943,10.280925393072,38,91
198,"Sana Kliniken Lübeck GmbH, Sana Klinik Lübeck Süd",VERFUEGBAR,53.848800488052,10.687592804416,60,91
199,"Universitätsklinikum Schleswig-Holstein, Campus Lübeck",VERFUEGBAR,53.835847270403995,10.708594903235001,44,94
200,Schön Klinik Neustadt,VERFUEGBAR,54.091120202566,10.828691482675,42,99
201,"Sana Kliniken Ostholstein GmbH, Klinik Oldenburg",VERFUEGBAR,54.290437034750994,10.880277872019999,40,96
202,"Segeberger Kliniken, Bad Segeberg",VERFUEGBAR,53.943459393135,10.307963669284,41,98
203,Asklepios Klinik Bad Oldesloe,VERFUEGBAR,53.812444400356,10.363880753484,47,99
204,Medizinische Klinik Borstel,VERFUEGBAR,53.821486110441,10.193604469168001,45,100
205,"DRK-Krankenhaus Grevesmühlen gGmbH, Grevesmühlen",VERFUEGBAR,53.868420415716,11.183155971412,61,100
206,"Sana HANSE-Klinikum Wismar GmbH, Standort 01 - Sana HANSE-Klinikum Wismar GmbH",VERFUEGBAR,53.884770901332,11.438175201547,51,99
207,"Universitätsklinikum Schleswig-Holstein, Campus Kiel",VERFUEGBAR,54.329666500374,10.142877459493,59,92
208,"Lubinus-Stiftung, Lubinus Clinicum",VERFUEGBAR,54.353174510392,10.116285771123,56,91
209,"Städtisches Krankenhaus Kiel GmbH, Hauptstandort",VERFUEGBAR,54.32290692780501,10.117073642969,51,92
210,"imland gGmbH, Eckernförde",VERFUEGBAR,54.482649267023,9.816604006181999,38,96
211,Vamed Ostseeklinik Damp,VERFUEGBAR,54.586144328334,10.022007465395,63,95
212,"FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH, Hauptstandort",VERFUEGBAR,54.06591447496199,9.992158770528,51,91
213,"Paracelsus Kinik Henstedt-Ulzburg, Paracelsus Klinik Henstedt-Ulzburg",VERFUEGBAR,53.749384805502004,10.008263826403,51,100
214,"imland gGmbH, Standort Rendsburg",VERFUEGBAR,54.297086924599,9.659486532146,50,92
215,Helios Klinik Schleswig GmbH,VERFUEGBAR,54.52306787691,9.569834232461,62,93
216,"Diakonissenkrankenhaus Flensburg, Diakonissenkrankenhaus der Ev.-luth. Diakonissenanstalt zu Flensburg",VERFUEGBAR,54.790533539761,9.426069455221,36,92
217,"Malteser Krankenhaus St. Franziskus-Hospital, Hauptstandort",VERFUEGBAR,54.792584112360004,9.42023777965,61,93
218,"Regio Kliniken GmbH, Regio Klinikum Elmshorn",VERFUEGBAR,53.752510201933,9.681757450234999,64,92
219,"Klinikum Itzehoe, Itzehoe",VERFUEGBAR,53.941746464684,9.503403425151,62,92
